asset_class,sym,strategy,sweep_param,sweep_value,fixed_kwargs,oos_score,wfe,oos_return,oos_maxdd,oos_trades,oos_win_rate,folds
crypto,ETHUSD,bollinger,n_std,2.0,window=20,0.01569518170741273,0.0,0.01838323860997626,-0.24271245099168515,4,0.5,5
crypto,ETHUSD,bollinger,n_std,2.5,window=20,0.016728432257971326,0.0,0.015087202710841564,-0.194276546250313,3,0.3333333333333333,5
crypto,ETHUSD,bollinger,n_std,3.0,window=20,-2.9133845935276574,0.0,-0.003938462462448977,-0.03957166992860295,0,0.0,5
crypto,ETHUSD,bollinger,n_std,3.5,window=20,0.0,0.0,0.0,0.0,0,0.0,5
crypto,ETHUSD,rsi_meanrevert,oversold,20.0,window=14,0.00595991955384643,0.047240720722653604,-0.005112456545276723,-0.194276546250313,1,0.0,5
crypto,ETHUSD,rsi_meanrevert,oversold,25.0,window=14,-0.04122720962591964,-0.6731723430325477,-0.02371342272495929,-0.2711785095451442,1,0.0,5
crypto,ETHUSD,rsi_meanrevert,oversold,30.0,window=14,-2.6488002938797033,0.0,0.014302672219050993,-0.1627687793427227,2,0.5,5
crypto,ETHUSD,rsi_meanrevert,oversold,35.0,window=14,-1.0365965091046532,-3.285919625660795,0.020108249186000914,-0.24271245099168515,3,1.0,5
crypto,ETHUSD,zscore_ou,entry_z,0.5,window=20,-1.138449852612753,0.0,-0.0671253802975744,-0.4706795555496728,7,0.42857142857142855,5
crypto,ETHUSD,zscore_ou,entry_z,1.0,window=20,-1.3447983946222646,0.0,-0.06133665213865358,-0.4706795555496728,6,0.6666666666666666,5
crypto,ETHUSD,zscore_ou,entry_z,1.5,window=20,3.0685787386249452,59.242063703729755,-0.03139873153927668,-0.5095173801679131,5,0.8,5
crypto,ETHUSD,zscore_ou,entry_z,2.0,window=20,-0.9638009503341308,0.0,0.015219587918678324,-0.24271245099168515,3,0.6666666666666666,5
crypto,ETHUSD,zscore_ou,entry_z,2.5,window=20,-0.9446028533056016,0.0,0.0053972167524950045,-0.194276546250313,2,0.5,5
crypto,ETHUSD,zscore_ou,entry_z,3.0,window=20,-2.9133845935276574,0.0,-0.003938462462448977,-0.03957166992860295,0,0.0,5
crypto,PAXGUSD,bollinger,n_std,1.5,window=20,2.997567704282362,0.3459383517855766,0.0024968746735782527,-0.11824875126920664,34,0.6470588235294118,23
crypto,PAXGUSD,bollinger,n_std,2.0,window=20,2.7128842909657847,0.8044669921630776,0.002673288684298165,-0.07244980032577175,22,0.6818181818181818,23
crypto,PAXGUSD,bollinger,n_std,2.5,window=20,1.3622633834664861,1.8447484099951008,0.0003372419484435051,-0.06080380144402442,11,0.36363636363636365,23
crypto,PAXGUSD,bollinger,n_std,3.0,window=20,0.006268904126571406,0.005046647628035877,-0.0018321286929351662,-0.066722222299339,6,0.3333333333333333,23
crypto,PAXGUSD,bollinger,n_std,3.5,window=20,0.0,0.0,0.0,0.0,0,0.0,23
crypto,PAXGUSD,rsi_meanrevert,oversold,20.0,window=14,0.2885855140571648,3.4691049305459685,0.0007047454782428119,-0.07446756788668629,3,0.6666666666666666,23
crypto,PAXGUSD,rsi_meanrevert,oversold,25.0,window=14,3.724642717588498,1.8296107643020516,0.003646651477452723,-0.07446756788668629,8,0.75,23
crypto,PAXGUSD,rsi_meanrevert,oversold,30.0,window=14,1.4521284444832354,0.669337428044442,0.006055325784544543,-0.07446756788668607,14,0.7857142857142857,23
crypto,PAXGUSD,rsi_meanrevert,oversold,35.0,window=14,5.221277236692089,1.5358362033885666,0.003976530909343202,-0.12262312351856697,19,0.6842105263157895,23
crypto,PAXGUSD,zscore_ou,entry_z,0.5,window=20,6.161997171663808,6.2009770040018335,-0.0079945241875515,-0.1178585062414631,27,0.5555555555555556,23
crypto,PAXGUSD,zscore_ou,entry_z,1.0,window=20,12.690701150597363,2.8646640389301368,-0.0023575839777539853,-0.12262312351856697,35,0.6285714285714286,23
crypto,PAXGUSD,zscore_ou,entry_z,1.5,window=20,3.266770395092157,0.42789573591099256,-0.0019278045416942103,-0.12621117306469076,31,0.6451612903225806,23
crypto,PAXGUSD,zscore_ou,entry_z,2.0,window=20,2.74156567257954,0.7729572997552112,0.0027176719302216064,-0.07446756788668607,21,0.6666666666666666,23
crypto,PAXGUSD,zscore_ou,entry_z,2.5,window=20,1.470187105054583,1.3979930211983762,0.002278615692296429,-0.07446756788668607,11,0.45454545454545453,23
crypto,PAXGUSD,zscore_ou,entry_z,3.0,window=20,0.09094891538997465,0.06254375917961782,-0.0012071840080954289,-0.07854899459905329,6,0.5,23
